Name,Link,Rating,Enroll,Instructor,Time,Level,Fee,Program,Subtitle,Subject,Organization,Knowledge,Programing Language,Tool,Platform,Framework,Knowledge_P,Programing Language_P,Tool_P,Platform_P,Framework_P
Android III avançado Mapas GPS Notificações,https://www.udemy.com/course/android-iii-avancado-mapas-gps-notificacoes/,2.7,186,Neri Neitzke,14 hours on-demand video,,100,,Portuguese,Mobile Development,,,,,,,,,,,
introduction to software testing ???????,https://www.udemy.com/course/introduction-to-software-testing-f/,3.7,,Ahmed Hassan Ahmed,1 hour on-demand video,,100,,,Software Testing,,software testing,,,,,,,,,
MuseScore-FREE music notation software-Full course,https://www.udemy.com/course/musescore-free-music-notation-software-full-course/,4.3,1.534,Martin Cohen,4.5 hours on-demand video,,100,,English,Music Software,,,,,,,,,,,
Software requirements specification: develop fast and clear,https://www.udemy.com/course/software-requirements-specification-develop-fast-and-clear/,4.2,248,Danil Dintsis,1 hour on-demand video,,100,,,Other IT & Software,,,,,,,"software development, software testing",,,,
RabbitMQ: The Complete Guide with Software Architecture Applications,https://www.udemy.com/course/rabbitmq-the-complete-guide-with-software-architecture-applications/,4.2,7.013,Binary Brain,1.5 hours on-demand video,,100,,"English,Portuguese",Software Engineering,,software architecture and design,,,,,,,,,
Software Refactoring en C#,https://www.udemy.com/course/software-refactoring-csharp/,3.9,146,Edgar Felipe Fuentes Perea,2 hours on-demand video,,100,,,Software Engineering,,al,,,,,,c#,,,
Software Estimation with IFPUG Function Point Analysis,https://www.udemy.com/course/software-estimation-with-ifpug-function-point-analysis/,4.6,,KRUPANANDA BABU M,4.5 hours on-demand video,,100,,,Other IT & Software,,software development,,,,,software development,,,,
SOLID Software Architecture: Complete Guide with Coding Examples,https://www.udemy.com/course/solid-software-architecture-complete-guide-with-c-examples/,4.1,3.331,Binary Brain,1 hour on-demand video,,100,,English,Software Engineering,,software architecture,,,,,,,,,
The Fundamentals of Business Intelligence (BI),https://www.udemy.com/course/fundamentals-of-business-intelligence-bi/,3.6,224,"Illumeo Learning,Michael McDonald",1 hour on-demand video,,100,,English,Operations,,"big data, business intelligence, bi",,,,,,,,,
Learn Manual Software Testing In Arabic.,https://www.udemy.com/course/manual-software-testing-in-arabic/,4.6,123,Mohamed Salah,2 hours on-demand video,,100,,,Software Testing,,software testing,,,,,,,,,
Free Amazon FBA Tutorial - 5 MUST-HAVE AMAZON SOFTWARE TOOLS,https://www.udemy.com/course/5-must-have-amazon-software-tools/,4.4,15.359,Wilson Vivas,5hr 30min,,100,,English,E-Commerce,,selling physical products,,,,,,,,,
"How to live stream, step by step with Open Broadcaster (OBS)",https://www.udemy.com/course/live-streaming-with-open-broadcaster-software/,3.9,5.131,David Prestidge,1 hour on-demand video,,100,,English,Video & Mobile Marketing,,,,,,,,,,,
Using an Editing Software for Animation,https://www.udemy.com/course/using-an-editing-software-for-animation/,4.8,4.129,2D Animation 101 Courses,2 hours on-demand video,,100,,English,Other Design,,,,,,,,,,,
Free Software Testing Tutorial - Introduction to Software Testing or Software QA,https://www.udemy.com/course/introduction-to-software-testing-or-software-qa/,4.4,57.064,Admas Kinfu,1hr 1min,,100,,,Software Testing,,"software qa, software testing",,,,,,,,,
Free Autodesk Tutorial - Autodesk Software Downloads,https://www.udemy.com/course/free-software-downloads-autodesk-education/,4,7.304,Samaah Sultaan,40min,,100,,English,Engineering,,,,,,,,,,,
Free Android Device Basics Tutorial - Total Beginners' Guide: How to use an Android Smartphone,https://www.udemy.com/course/androidbeginners/,4,7.653,Epic Learning,1hr 34min,,100,,English,Other Lifestyle,,,,,,,,,,,
Android App Development using Android Studio - Advance,https://www.udemy.com/course/sisoft-android-app-development-advance/,4.1,494,Sisoft Learning,17.5 hours on-demand video,,100,,English,Mobile Development,,,,,,,object-oriented programming,java,,,
Free Android Development Tutorial - Android : Build Voting App using SMS and SQLite with zero ex,https://www.udemy.com/course/android-build-voting-app-using-sms-and-sqlite-with-zero-ex/,4.7,11.787,Dhoyazan Adbo Othman,5hr 55min,,100,,,Android Development,,,,,,,,,,,
Free Android Development Tutorial - Android Development from Scratch to Create Cool Apps!,https://www.udemy.com/course/sisoft-android-basic-to-create-cool-apps/,3.9,66.81,Sisoft Learning,3hr 3min,,100,,English,Mobile Development,,android programming,,,,,,,,,
Java Script for Software Testers-for Protractor/TestComplete,https://www.udemy.com/course/java-script-for-software-testers/,3.7,649,Testing World,3 hours on-demand video,,$13.99 ,,English,Software Testing,,,,,,,,html,,,
Free Android Development Tutorial - Creating your First Android Application from Scratch,https://www.udemy.com/course/creating-your-first-android-application-from-scratch/,3.7,12.65,Aneal Bening,36min,,Free,,English,Mobile Development,,"android app, android game",,,,,,,,,
Android Internals and Working with the source,https://www.udemy.com/course/android-internals-and-working-with-the-source/,3.7,,NexusDex Inc,1 hour on-demand video,,$13.99 ,,English,Mobile Development,,,,,,,,,git,,
Free Java Tutorial - Absolute Java Basics for Android,https://www.udemy.com/course/absolute-java-basics-for-android/,4.2,27.048,Arav Vijayaraghavan,5hr 36min,,Free,,English,Programming Languages,,android programming,,,,,,,,,
